s = 0.96230706   beta = 0.06715131
pair h=0.2 model=A eta=0.01 par: alpha=-1.626776+0.131914j  (wall 20s for pair of orientations)
pair h=0.2 model=A eta=0.01 perp: alpha=-1.947361+0.093609j  (wall 20s for pair of orientations)
pair h=0.2 model=A eta=0.003 par: alpha=-1.638495+0.047660j  (wall 18s for pair of orientations)
pair h=0.2 model=A eta=0.003 perp: alpha=-1.893167+0.153020j  (wall 18s for pair of orientations)
pair h=0.2 model=A eta=0.001 par: alpha=-1.640847+0.016256j  (wall 20s for pair of orientations)
pair h=0.2 model=A eta=0.001 perp: alpha=-1.719112+0.174101j  (wall 20s for pair of orientations)
pair h=0.2 model=B eta=0.01 par: alpha=-2.894405+0.457915j  (wall 23s for pair of orientations)
pair h=0.2 model=B eta=0.01 perp: alpha=-2.926838+0.183877j  (wall 23s for pair of orientations)
pair h=0.2 model=B eta=0.003 par: alpha=-2.801989+0.434253j  (wall 23s for pair of orientations)
pair h=0.2 model=B eta=0.003 perp: alpha=-2.919068+0.157518j  (wall 23s for pair of orientations)
pair h=0.2 model=B eta=0.001 par: alpha=-2.440103+0.654538j  (wall 23s for pair of orientations)
pair h=0.2 model=B eta=0.001 perp: alpha=-2.887310+0.080557j  (wall 23s for pair of orientations)
pair_s10 h=0.2 model=A eta=0.01 par: alpha=-1.887105+0.040104j  (wall 23s for pair of orientations)
pair_s10 h=0.2 model=A eta=0.01 perp: alpha=-1.969403+0.042275j  (wall 23s for pair of orientations)
single h=0.2 eta=0.01: alpha=-0.961623+0.020503j  (wall 16s)
pair h=0.1 model=A eta=0.01 par: alpha=-1.748565+0.191274j  (wall 228s for pair of orientations)
pair h=0.1 model=A eta=0.01 perp: alpha=-1.952114+0.127798j  (wall 228s for pair of orientations)
pair h=0.1 model=B eta=0.01 par: alpha=-2.906822+0.353552j  (wall 432s for pair of orientations)
pair h=0.1 model=B eta=0.01 perp: alpha=-2.998614+0.273761j  (wall 432s for pair of orientations)
single h=0.1 eta=0.01: alpha=-0.961292+0.030743j  (wall 80s)
single h=0.05 eta=0.01: alpha=-0.966948+0.033096j  (wall 673s)
Phase 1 total wall time: 1579s
